Timestamps,Date,mm/h Max Precip Rate,m3/m3 Water Content,degree_C Soil Temperature,mS/cm Saturation Extract EC,kPa Atmospheric Pressure,degree_C Air Temperature
15/07/21 22:00,15/07/21,0,0.308,20.8,0.542,100.12,24.6
15/07/21 22:15,15/07/21,0,0.309,20.8,0.543,100.12,24.4
15/07/21 22:30,15/07/21,0,0.308,20.8,0.543,100.12,24.3
15/07/21 22:45,15/07/21,0,0.309,20.7,0.543,100.11,24.1
15/07/21 23:00,15/07/21,0,0.308,20.7,0.542,100.11,23.9
15/07/21 23:15,15/07/21,0,0.309,20.7,0.542,100.1,23.8
15/07/21 23:30,15/07/21,0,0.308,20.7,0.542,100.1,23.8
15/07/21 23:45,15/07/21,0,0.309,20.7,0.543,100.08,23.8
16/07/21 0:00,16/07/21,0,0.309,20.7,0.543,100.08,23.7
16/07/21 0:15,16/07/21,0,0.309,20.7,0.542,100.06,23.8
16/07/21 0:30,16/07/21,0,0.309,20.7,0.542,100.04,23.7
16/07/21 0:45,16/07/21,0,0.309,20.7,0.543,100.02,23.5
16/07/21 1:00,16/07/21,0,0.309,20.7,0.543,100.01,23.3
16/07/21 1:15,16/07/21,0,0.309,20.7,0.543,100,23.2
16/07/21 1:30,16/07/21,0,0.309,20.7,0.543,99.99,23.1
16/07/21 1:45,16/07/21,0,0.309,20.7,0.543,99.98,23.1
16/07/21 2:00,16/07/21,0,0.309,20.7,0.542,99.98,23.1
16/07/21 2:15,16/07/21,0,0.309,20.7,0.543,99.97,23
16/07/21 2:30,16/07/21,0,0.309,20.7,0.542,99.97,22.8
16/07/21 2:45,16/07/21,0,0.309,20.7,0.542,99.96,22.6
16/07/21 3:00,16/07/21,0,0.309,20.7,0.543,99.96,22.3
16/07/21 3:15,16/07/21,0,0.309,20.7,0.541,99.95,22.1
16/07/21 3:30,16/07/21,0,0.309,20.7,0.543,99.95,22
16/07/21 3:45,16/07/21,0,0.309,20.6,0.541,99.97,22
16/07/21 4:00,16/07/21,0,0.309,20.6,0.54,99.98,22.2
16/07/21 4:15,16/07/21,0,0.309,20.6,0.542,99.98,22.3
16/07/21 4:30,16/07/21,0,0.309,20.6,0.542,99.99,22.5
16/07/21 4:45,16/07/21,0,0.309,20.6,0.542,100,22.7
16/07/21 5:00,16/07/21,0,0.309,20.6,0.542,100.01,22.7
16/07/21 5:15,16/07/21,0,0.309,20.6,0.542,100.01,22.6
16/07/21 5:30,16/07/21,0,0.309,20.6,0.541,100.02,22.5
16/07/21 5:45,16/07/21,0,0.309,20.6,0.541,100.01,22.5
16/07/21 6:00,16/07/21,0,0.309,20.6,0.542,100.02,22.4
16/07/21 6:15,16/07/21,0,0.309,20.6,0.543,100.04,22.2
16/07/21 6:30,16/07/21,0,0.309,20.6,0.541,100.06,22.6
16/07/21 6:45,16/07/21,0,0.309,20.6,0.541,100.06,22.6
16/07/21 7:00,16/07/21,0,0.309,20.6,0.538,100.06,22.8
16/07/21 7:15,16/07/21,0,0.309,20.6,0.542,100.06,23.7
16/07/21 7:30,16/07/21,0,0.309,20.6,0.543,100.06,25.2
16/07/21 7:45,16/07/21,0,0.309,20.6,0.543,100.05,26.3
16/07/21 8:00,16/07/21,0,0.309,20.6,0.542,100.07,27.3
16/07/21 8:15,16/07/21,0,0.309,20.6,0.542,100.08,28.2
16/07/21 8:30,16/07/21,0,0.309,20.6,0.543,100.09,28.9
16/07/21 8:45,16/07/21,0,0.309,20.6,0.542,100.09,29.3
16/07/21 9:00,16/07/21,0,0.309,20.6,0.542,100.11,29.1
16/07/21 9:15,16/07/21,0,0.309,20.6,0.542,100.12,29.8
16/07/21 9:30,16/07/21,0,0.309,20.6,0.542,100.12,30.8
16/07/21 9:45,16/07/21,0,0.309,20.6,0.541,100.12,31.3
16/07/21 10:00,16/07/21,0,0.309,20.6,0.542,100.12,31.9
16/07/21 10:15,16/07/21,0,0.309,20.6,0.539,100.13,32.4
16/07/21 10:30,16/07/21,0,0.309,20.6,0.542,100.13,33.2
16/07/21 10:45,16/07/21,0,0.309,20.6,0.542,100.14,33.8
16/07/21 11:00,16/07/21,0,0.309,20.6,0.543,100.14,33.4
16/07/21 11:15,16/07/21,0,0.309,20.6,0.542,100.14,33.5
16/07/21 11:30,16/07/21,0,0.309,20.6,0.54,100.13,33.6
16/07/21 11:45,16/07/21,0,0.309,20.6,0.542,100.11,33.8
16/07/21 12:00,16/07/21,0,0.309,20.6,0.538,100.1,34.2
16/07/21 12:15,16/07/21,0,0.309,20.6,0.539,100.09,34.4
16/07/21 12:30,16/07/21,0,0.309,20.6,0.539,100.07,34.6
16/07/21 12:45,16/07/21,0,0.309,20.6,0.541,100.05,34.9
16/07/21 13:00,16/07/21,0,0.309,20.6,0.538,100.03,35.7
16/07/21 13:15,16/07/21,0,0.309,20.6,0.538,100,35.7
16/07/21 13:30,16/07/21,0,0.309,20.6,0.537,99.98,36.1
16/07/21 13:45,16/07/21,0,0.309,20.6,0.54,99.94,36.6
16/07/21 14:00,16/07/21,0,0.309,20.6,0.542,99.93,36.9
16/07/21 14:15,16/07/21,0,0.309,20.6,0.539,99.92,36.6
16/07/21 14:30,16/07/21,0,0.309,20.6,0.54,99.9,36.5
16/07/21 14:45,16/07/21,0,0.309,20.6,0.539,99.91,35.6
16/07/21 15:00,16/07/21,0,0.309,20.6,0.543,99.91,33.4
16/07/21 15:15,16/07/21,0,0.309,20.6,0.539,99.9,30.9
16/07/21 15:30,16/07/21,0,0.309,20.6,0.542,99.88,29.9
16/07/21 15:45,16/07/21,0,0.309,20.6,0.54,99.86,30
16/07/21 16:00,16/07/21,0,0.309,20.6,0.542,99.86,31
16/07/21 16:15,16/07/21,0,0.309,20.6,0.542,99.85,31.7
16/07/21 16:30,16/07/21,0,0.309,20.6,0.543,99.88,32.5
16/07/21 16:45,16/07/21,12,0.309,20.6,0.54,99.88,30.2
16/07/21 17:00,16/07/21,0,0.309,20.6,0.543,99.86,28.6
16/07/21 17:15,16/07/21,0,0.309,20.6,0.542,99.86,27.3
16/07/21 17:30,16/07/21,12,0.309,20.6,0.543,99.84,26.9
16/07/21 17:45,16/07/21,0,0.309,20.6,0.543,99.82,26.4
16/07/21 18:00,16/07/21,0,0.309,20.6,0.542,99.8,25.7
16/07/21 18:15,16/07/21,0,0.309,20.6,0.542,99.77,25.2
16/07/21 18:30,16/07/21,0,0.309,20.6,0.542,99.75,25
16/07/21 18:45,16/07/21,0,0.309,20.6,0.544,99.76,24.9
16/07/21 19:00,16/07/21,0,0.309,20.6,0.544,99.79,24.9
16/07/21 19:15,16/07/21,0,0.309,20.6,0.544,99.81,24.9
16/07/21 19:30,16/07/21,0,0.309,20.6,0.542,99.83,24.9
16/07/21 19:45,16/07/21,0,0.309,20.6,0.543,99.85,24.8
16/07/21 20:00,16/07/21,0,0.309,20.6,0.544,99.85,24.6
16/07/21 20:15,16/07/21,0,0.309,20.6,0.544,99.85,24.5
16/07/21 20:30,16/07/21,0,0.309,20.6,0.544,99.86,24.3
16/07/21 20:45,16/07/21,0,0.309,20.6,0.544,99.86,24.2
16/07/21 21:00,16/07/21,0,0.309,20.6,0.543,99.87,24.1
16/07/21 21:15,16/07/21,0,0.309,20.6,0.544,99.88,24.2
16/07/21 21:30,16/07/21,0,0.309,20.6,0.543,99.89,24.2
16/07/21 21:45,16/07/21,0,0.309,20.6,0.544,99.91,24.4
16/07/21 22:00,16/07/21,0,0.309,20.6,0.543,99.93,24.5
16/07/21 22:15,16/07/21,0,0.309,20.6,0.544,99.94,24.5
16/07/21 22:30,16/07/21,0,0.309,20.6,0.543,99.95,24.4
16/07/21 22:45,16/07/21,0,0.309,20.6,0.543,99.96,24.2
16/07/21 23:00,16/07/21,0,0.309,20.6,0.544,99.98,24.1
16/07/21 23:15,16/07/21,0,0.309,20.6,0.543,99.98,24
16/07/21 23:30,16/07/21,0,0.309,20.6,0.544,99.97,23.9
16/07/21 23:45,16/07/21,0,0.309,20.6,0.543,99.97,23.8
17/07/21 0:00,17/07/21,0,0.309,20.6,0.541,99.97,23.8
17/07/21 0:15,17/07/21,0,0.309,20.6,0.542,99.97,23.8
17/07/21 0:30,17/07/21,0,0.309,20.6,0.543,99.97,23.6
17/07/21 0:45,17/07/21,0,0.309,20.6,0.543,99.96,23.6
17/07/21 1:00,17/07/21,0,0.309,20.6,0.542,99.97,23.7
17/07/21 1:15,17/07/21,0,0.309,20.6,0.543,99.97,23.7
17/07/21 1:30,17/07/21,0,0.309,20.6,0.543,99.96,23.7
17/07/21 1:45,17/07/21,0,0.309,20.6,0.543,99.96,23.5
17/07/21 2:00,17/07/21,0,0.309,20.6,0.543,99.96,23.3
17/07/21 2:15,17/07/21,0,0.309,20.6,0.544,99.95,23.1
17/07/21 2:30,17/07/21,0,0.309,20.6,0.541,99.97,23.1
17/07/21 2:45,17/07/21,0,0.309,20.6,0.541,99.97,23.2
17/07/21 3:00,17/07/21,0,0.309,20.6,0.544,99.98,23.3
17/07/21 3:15,17/07/21,0,0.309,20.6,0.544,99.98,23.3
17/07/21 3:30,17/07/21,0,0.309,20.6,0.541,100,23.3
17/07/21 3:45,17/07/21,0,0.309,20.6,0.543,100,23.2
17/07/21 4:00,17/07/21,0,0.309,20.6,0.544,100.01,23.2
17/07/21 4:15,17/07/21,0,0.309,20.6,0.543,100.02,23.2
17/07/21 4:30,17/07/21,0,0.309,20.6,0.544,100.04,23.1
17/07/21 4:45,17/07/21,0,0.309,20.6,0.543,100.05,23.1
17/07/21 5:00,17/07/21,0,0.309,20.6,0.543,100.05,23
17/07/21 5:15,17/07/21,0,0.309,20.6,0.543,100.07,23
17/07/21 5:30,17/07/21,0,0.309,20.6,0.541,100.07,22.9
17/07/21 5:45,17/07/21,0,0.309,20.6,0.541,100.08,22.7
17/07/21 6:00,17/07/21,0,0.309,20.6,0.544,100.1,22.5
17/07/21 6:15,17/07/21,0,0.309,20.6,0.541,100.13,22.3
17/07/21 6:30,17/07/21,0,0.309,20.6,0.541,100.15,22.2
17/07/21 6:45,17/07/21,0,0.309,20.6,0.543,100.17,22.3
17/07/21 7:00,17/07/21,0,0.309,20.6,0.543,100.18,22.7
17/07/21 7:15,17/07/21,0,0.309,20.6,0.54,100.19,23.4
17/07/21 7:30,17/07/21,0,0.309,20.6,0.543,100.19,23.9
17/07/21 7:45,17/07/21,0,0.309,20.6,0.543,100.2,24.4
17/07/21 8:00,17/07/21,0,0.309,20.6,0.544,100.21,24.6
17/07/21 8:15,17/07/21,0,0.309,20.6,0.541,100.21,25.1
17/07/21 8:30,17/07/21,0,0.309,20.6,0.543,100.22,26
17/07/21 8:45,17/07/21,0,0.309,20.6,0.543,100.22,26.3
17/07/21 9:00,17/07/21,0,0.309,20.6,0.541,100.23,28
17/07/21 9:15,17/07/21,0,0.309,20.6,0.544,100.24,27.9
17/07/21 9:30,17/07/21,0,0.309,20.6,0.543,100.24,27.9
17/07/21 9:45,17/07/21,0,0.309,20.6,0.543,100.24,29.2
17/07/21 10:00,17/07/21,0,0.309,20.6,0.54,100.24,30
17/07/21 10:15,17/07/21,0,0.309,20.6,0.544,100.24,30.9
17/07/21 10:30,17/07/21,0,0.309,20.6,0.543,100.25,31
17/07/21 10:45,17/07/21,0,0.309,20.6,0.543,100.25,32.2
17/07/21 11:00,17/07/21,0,0.309,20.6,0.543,100.27,31.7
17/07/21 11:15,17/07/21,0,0.309,20.6,0.543,100.29,32.1
17/07/21 11:30,17/07/21,0,0.309,20.6,0.544,100.3,32.7
17/07/21 11:45,17/07/21,0,0.309,20.6,0.544,100.3,32.6
17/07/21 12:00,17/07/21,0,0.309,20.6,0.541,100.29,33.2
17/07/21 12:15,17/07/21,0,0.309,20.6,0.541,100.28,34.3
17/07/21 12:30,17/07/21,0,0.309,20.6,0.543,100.26,35.2
17/07/21 12:45,17/07/21,0,0.309,20.6,0.543,100.25,35.3
17/07/21 13:00,17/07/21,0,0.309,20.6,0.543,100.25,35.2
17/07/21 13:15,17/07/21,0,0.309,20.6,0.541,100.24,35.2
17/07/21 13:30,17/07/21,0,0.309,20.6,0.542,100.23,36.2
17/07/21 13:45,17/07/21,0,0.309,20.6,0.542,100.22,36.5
17/07/21 14:00,17/07/21,0,0.309,20.6,0.542,100.18,36
17/07/21 14:15,17/07/21,0,0.309,20.6,0.542,100.16,35.9
17/07/21 14:30,17/07/21,0,0.309,20.6,0.544,100.16,34.8
17/07/21 14:45,17/07/21,0,0.309,20.6,0.544,100.14,34.8
17/07/21 15:00,17/07/21,0,0.309,20.6,0.544,100.13,35.8
17/07/21 15:15,17/07/21,0,0.309,20.6,0.544,100.13,35.9
17/07/21 15:30,17/07/21,0,0.309,20.6,0.543,100.12,35.8
17/07/21 15:45,17/07/21,0,0.309,20.6,0.543,100.12,36.3
17/07/21 16:00,17/07/21,0,0.309,20.6,0.544,100.12,36.4
17/07/21 16:15,17/07/21,0,0.309,20.6,0.544,100.11,36.1
17/07/21 16:30,17/07/21,0,0.309,20.6,0.545,100.1,36
17/07/21 16:45,17/07/21,0,0.309,20.6,0.545,100.1,35.8
17/07/21 17:00,17/07/21,0,0.309,20.6,0.545,100.08,35.9
17/07/21 17:15,17/07/21,0,0.309,20.6,0.545,100.06,35.7
17/07/21 17:30,17/07/21,0,0.309,20.6,0.545,100.04,35.5
17/07/21 17:45,17/07/21,0,0.309,20.6,0.545,100.02,35.1
17/07/21 18:00,17/07/21,0,0.309,20.6,0.544,100.02,34.6
17/07/21 18:15,17/07/21,0,0.309,20.6,0.544,100.02,33.3
17/07/21 18:30,17/07/21,0,0.309,20.6,0.544,100.03,32.3
17/07/21 18:45,17/07/21,0,0.309,20.6,0.544,100.02,31.4
17/07/21 19:00,17/07/21,0,0.309,20.6,0.542,100.03,30.6
17/07/21 19:15,17/07/21,0,0.309,20.6,0.544,100.04,30
17/07/21 19:30,17/07/21,0,0.309,20.6,0.544,100.07,29.6
17/07/21 19:45,17/07/21,0,0.309,20.6,0.544,100.07,29.2
17/07/21 20:00,17/07/21,0,0.309,20.6,0.542,100.09,28.4
17/07/21 20:15,17/07/21,0,0.309,20.6,0.544,100.11,27.5
17/07/21 20:30,17/07/21,0,0.309,20.6,0.544,100.13,26.5
17/07/21 20:45,17/07/21,0,0.309,20.6,0.544,100.13,25.6
17/07/21 21:00,17/07/21,0,0.309,20.6,0.544,100.13,24.9
17/07/21 21:15,17/07/21,0,0.309,20.6,0.544,100.15,24.4
17/07/21 21:30,17/07/21,0,0.309,20.6,0.542,100.16,24.3
17/07/21 21:45,17/07/21,0,0.309,20.6,0.542,100.18,24.2
17/07/21 22:00,17/07/21,0,0.309,20.6,0.544,100.18,24.3
17/07/21 22:15,17/07/21,0,0.309,20.6,0.542,100.17,24.4
17/07/21 22:30,17/07/21,0,0.309,20.6,0.544,100.18,24.4
17/07/21 22:45,17/07/21,0,0.309,20.6,0.542,100.17,24.4
17/07/21 23:00,17/07/21,0,0.309,20.6,0.544,100.16,24.3
17/07/21 23:15,17/07/21,0,0.309,20.6,0.542,100.15,24.2
17/07/21 23:30,17/07/21,0,0.309,20.6,0.544,100.17,24
17/07/21 23:45,17/07/21,0,0.309,20.6,0.542,100.19,23.9
18/07/21 0:00,18/07/21,0,0.309,20.6,0.542,100.22,23.8
18/07/21 0:15,18/07/21,0,0.309,20.6,0.542,100.21,24
18/07/21 0:30,18/07/21,0,0.309,20.6,0.544,100.21,23.9
18/07/21 0:45,18/07/21,0,0.309,20.6,0.544,100.21,23.8
18/07/21 1:00,18/07/21,0,0.309,20.6,0.544,100.19,23.6
18/07/21 1:15,18/07/21,0,0.309,20.6,0.544,100.18,23.3
18/07/21 1:30,18/07/21,0,0.309,20.6,0.542,100.18,22.9
18/07/21 1:45,18/07/21,0,0.309,20.6,0.544,100.17,22.7
18/07/21 2:00,18/07/21,0,0.309,20.6,0.544,100.18,22.5
18/07/21 2:15,18/07/21,0,0.309,20.6,0.544,100.19,22.5
18/07/21 2:30,18/07/21,0,0.309,20.6,0.542,100.19,22.4
18/07/21 2:45,18/07/21,0,0.309,20.7,0.543,100.18,22.2
18/07/21 3:00,18/07/21,0,0.309,20.7,0.542,100.18,22.3
18/07/21 3:15,18/07/21,0,0.309,20.7,0.543,100.18,22.2
18/07/21 3:30,18/07/21,0,0.309,20.7,0.543,100.2,22.2
18/07/21 3:45,18/07/21,0,0.309,20.7,0.543,100.21,22.3
18/07/21 4:00,18/07/21,0,0.309,20.7,0.543,100.21,22.5
18/07/21 4:15,18/07/21,0,0.309,20.7,0.545,100.22,22.5
18/07/21 4:30,18/07/21,0,0.309,20.7,0.545,100.21,22.5
18/07/21 4:45,18/07/21,0,0.309,20.7,0.543,100.21,22.5
18/07/21 5:00,18/07/21,0,0.309,20.7,0.543,100.21,22.4
18/07/21 5:15,18/07/21,0,0.309,20.7,0.545,100.21,22.3
18/07/21 5:30,18/07/21,0,0.309,20.7,0.543,100.22,22.3
18/07/21 5:45,18/07/21,0,0.309,20.7,0.543,100.23,22.5
18/07/21 6:00,18/07/21,0,0.309,20.7,0.546,100.24,22.4
18/07/21 6:15,18/07/21,0,0.309,20.7,0.545,100.25,22.4
18/07/21 6:30,18/07/21,0,0.309,20.7,0.545,100.25,22.5
18/07/21 6:45,18/07/21,0,0.309,20.7,0.543,100.25,22.6
18/07/21 7:00,18/07/21,0,0.309,20.7,0.545,100.26,22.8
18/07/21 7:15,18/07/21,0,0.309,20.7,0.545,100.26,23
18/07/21 7:30,18/07/21,0,0.309,20.7,0.543,100.25,23.3
18/07/21 7:45,18/07/21,0,0.309,20.7,0.545,100.27,23.9
18/07/21 8:00,18/07/21,0,0.309,20.7,0.543,100.27,24.4
18/07/21 8:15,18/07/21,0,0.309,20.7,0.543,100.27,24.8
18/07/21 8:30,18/07/21,0,0.309,20.7,0.543,100.28,25.2
18/07/21 8:45,18/07/21,0,0.309,20.7,0.543,100.28,25.8
18/07/21 9:00,18/07/21,0,0.309,20.7,0.543,100.3,26.2
18/07/21 9:15,18/07/21,0,0.309,20.7,0.543,100.29,26.8
18/07/21 9:30,18/07/21,0,0.309,20.7,0.543,100.28,27.6
18/07/21 9:45,18/07/21,0,0.31,20.7,0.543,100.29,28.2
18/07/21 10:00,18/07/21,0,0.309,20.7,0.543,100.28,28.4
18/07/21 10:15,18/07/21,0,0.309,20.7,0.542,100.26,28.6
18/07/21 10:30,18/07/21,0,0.309,20.7,0.542,100.28,28.4
18/07/21 10:45,18/07/21,0,0.309,20.7,0.542,100.28,27.8
18/07/21 11:00,18/07/21,0,0.309,20.7,0.542,100.28,27.4
18/07/21 11:15,18/07/21,0,0.309,20.7,0.542,100.27,27.3
18/07/21 11:30,18/07/21,36,0.31,20.7,0.542,100.26,27
18/07/21 11:45,18/07/21,0,0.31,20.7,0.542,100.24,26.6
18/07/21 12:00,18/07/21,0,0.31,20.7,0.542,100.2,27.4
18/07/21 12:15,18/07/21,0,0.31,20.7,0.542,100.2,27.7
18/07/21 12:30,18/07/21,0,0.309,20.7,0.542,100.2,27.8
18/07/21 12:45,18/07/21,12,0.31,20.7,0.542,100.2,28.5
18/07/21 13:00,18/07/21,0,0.309,20.7,0.542,100.2,29.1
18/07/21 13:15,18/07/21,0,0.31,20.7,0.543,100.19,28.9
18/07/21 13:30,18/07/21,0,0.309,20.7,0.545,100.19,28.9
18/07/21 13:45,18/07/21,0,0.31,20.7,0.544,100.18,29.1
18/07/21 14:00,18/07/21,0,0.31,20.7,0.546,100.16,29.2
18/07/21 14:15,18/07/21,0,0.31,20.7,0.544,100.15,29.2
18/07/21 14:30,18/07/21,0,0.31,20.7,0.544,100.15,29.1
18/07/21 14:45,18/07/21,0,0.31,20.7,0.546,100.14,29.2
18/07/21 15:00,18/07/21,0,0.31,20.7,0.547,100.13,28.7
18/07/21 15:15,18/07/21,0,0.31,20.7,0.546,100.13,27.4
18/07/21 15:30,18/07/21,0,0.31,20.7,0.547,100.1,27.2
18/07/21 15:45,18/07/21,0,0.31,20.7,0.546,100.07,27.6
18/07/21 16:00,18/07/21,0,0.31,20.7,0.546,100.07,27.4
18/07/21 16:15,18/07/21,0,0.31,20.7,0.546,100.05,27.4
18/07/21 16:30,18/07/21,0,0.31,20.7,0.544,100.04,27.2
18/07/21 16:45,18/07/21,0,0.31,20.7,0.544,100.04,26.9
18/07/21 17:00,18/07/21,0,0.31,20.7,0.546,100.05,26
18/07/21 17:15,18/07/21,0,0.31,20.7,0.544,100.05,25.4
18/07/21 17:30,18/07/21,0,0.31,20.7,0.546,100.05,25.1
18/07/21 17:45,18/07/21,0,0.31,20.7,0.544,100.04,24.9
18/07/21 18:00,18/07/21,12,0.31,20.7,0.544,100.04,24.8
18/07/21 18:15,18/07/21,0,0.31,20.7,0.544,100.03,24.6
18/07/21 18:30,18/07/21,0,0.31,20.7,0.543,100.02,24.5
18/07/21 18:45,18/07/21,48,0.31,20.7,0.543,100.03,24.3
18/07/21 19:00,18/07/21,120,0.31,20.7,0.543,100.06,23.7
18/07/21 19:15,18/07/21,120,0.31,20.7,0.543,100.09,23.1
18/07/21 19:30,18/07/21,84,0.31,20.7,0.544,100.07,22.6
18/07/21 19:45,18/07/21,24,0.31,20.7,0.543,100.07,22.3
18/07/21 20:00,18/07/21,24,0.309,20.7,0.542,100.07,22.3
18/07/21 20:15,18/07/21,24,0.311,20.7,0.565,100.06,22.1
18/07/21 20:30,18/07/21,0,0.327,20.7,0.64,100.05,22
18/07/21 20:45,18/07/21,0,0.334,20.8,0.659,100.04,21.8
18/07/21 21:00,18/07/21,0,0.337,20.8,0.671,100.05,21.8
18/07/21 21:15,18/07/21,0,0.339,20.9,0.673,100.06,21.8
18/07/21 21:30,18/07/21,12,0.34,20.9,0.673,100.07,21.8
18/07/21 21:45,18/07/21,0,0.341,21,0.671,100.05,21.8
18/07/21 22:00,18/07/21,0,0.341,21,0.67,100.05,21.8
18/07/21 22:15,18/07/21,0,0.342,21,0.671,100.05,21.8
18/07/21 22:30,18/07/21,0,0.342,21,0.675,100.06,21.8
18/07/21 22:45,18/07/21,0,0.342,21.1,0.681,100.07,21.8
18/07/21 23:00,18/07/21,0,0.343,21.1,0.683,100.07,21.8
18/07/21 23:15,18/07/21,0,0.343,21.1,0.686,100.06,21.8
18/07/21 23:30,18/07/21,0,0.343,21.1,0.687,100.05,21.8
18/07/21 23:45,18/07/21,0,0.343,21.1,0.685,100.05,21.8
19/07/21 0:00,19/07/21,0,0.343,21.1,0.685,100.04,21.7
19/07/21 0:15,19/07/21,0,0.344,21.1,0.685,100.04,21.9
19/07/21 0:30,19/07/21,12,0.344,21.2,0.684,100.04,21.9
19/07/21 0:45,19/07/21,0,0.344,21.2,0.681,100.03,21.8
19/07/21 1:00,19/07/21,0,0.344,21.2,0.677,100.01,21.7
19/07/21 1:15,19/07/21,0,0.344,21.2,0.676,100,21.6
19/07/21 1:30,19/07/21,0,0.344,21.2,0.674,99.99,21.6
19/07/21 1:45,19/07/21,0,0.344,21.2,0.67,99.98,21.6
19/07/21 2:00,19/07/21,12,0.344,21.2,0.667,99.98,21.6
19/07/21 2:15,19/07/21,0,0.345,21.2,0.664,99.99,21.6
19/07/21 2:30,19/07/21,0,0.345,21.2,0.662,99.98,21.5
19/07/21 2:45,19/07/21,0,0.345,21.2,0.659,99.97,21.5
19/07/21 3:00,19/07/21,0,0.345,21.2,0.656,99.97,21.4
19/07/21 3:15,19/07/21,0,0.345,21.2,0.652,99.96,21.4
19/07/21 3:30,19/07/21,0,0.345,21.2,0.649,99.93,21.3
19/07/21 3:45,19/07/21,0,0.345,21.2,0.646,99.93,21.3
19/07/21 4:00,19/07/21,0,0.346,21.2,0.641,99.93,21.2
19/07/21 4:15,19/07/21,0,0.346,21.2,0.642,99.94,21.3
19/07/21 4:30,19/07/21,0,0.346,21.2,0.632,99.94,21.2
19/07/21 4:45,19/07/21,0,0.346,21.3,0.632,99.93,21.2
19/07/21 5:00,19/07/21,0,0.346,21.3,0.632,99.92,21
19/07/21 5:15,19/07/21,0,0.346,21.3,0.63,99.92,20.9
19/07/21 5:30,19/07/21,0,0.346,21.3,0.628,99.93,20.8
19/07/21 5:45,19/07/21,0,0.346,21.3,0.625,99.94,20.8
19/07/21 6:00,19/07/21,0,0.346,21.3,0.625,99.95,20.9
19/07/21 6:15,19/07/21,0,0.346,21.3,0.623,99.97,21
19/07/21 6:30,19/07/21,0,0.346,21.3,0.619,99.97,21.1
19/07/21 6:45,19/07/21,0,0.347,21.3,0.62,99.96,21.2
19/07/21 7:00,19/07/21,0,0.346,21.3,0.619,99.98,21.3
19/07/21 7:15,19/07/21,0,0.347,21.3,0.611,99.98,21.4
19/07/21 7:30,19/07/21,0,0.347,21.3,0.612,99.98,21.4
19/07/21 7:45,19/07/21,0,0.347,21.3,0.609,99.99,21.6
19/07/21 8:00,19/07/21,0,0.347,21.3,0.607,99.99,21.9
19/07/21 8:15,19/07/21,0,0.347,21.3,0.607,100,22
19/07/21 8:30,19/07/21,0,0.347,21.3,0.604,100.01,22.2
19/07/21 8:45,19/07/21,0,0.347,21.3,0.603,100.02,22.2
19/07/21 9:00,19/07/21,0,0.347,21.3,0.602,100.03,22.5
19/07/21 9:15,19/07/21,0,0.347,21.3,0.6,100.03,22.8
19/07/21 9:30,19/07/21,0,0.347,21.3,0.598,100.02,23.5
